mts,ts_utc,open,close,high,low,volume,candle_key,raw
1783386120000,2026-07-07T01:02:00+00:00,0.000181,0.000181,0.000181,0.000181,78.29444075,trade:1m:fUSD:a30:p2:p30,"[1783386120000, 0.000181, 0.000181, 0.000181, 0.000181, 78.29444075]"
1783386600000,2026-07-07T01:10:00+00:00,0.0001809,0.00028355,0.00029676,0.00017186,906099.74284878,trade:1m:fUSD:a30:p2:p30,"[1783386600000, 0.0001809, 0.00028355, 0.00029676, 0.00017186, 906099.74284878]"
1783400760000,2026-07-07T05:06:00+00:00,0.000147,0.000147,0.000147,0.000147,300,trade:1m:fUSD:a30:p2:p30,"[1783400760000, 0.000147, 0.000147, 0.000147, 0.000147, 300]"
1783400940000,2026-07-07T05:09:00+00:00,0.000181,0.000181,0.000181,0.000181,314.17130246,trade:1m:fUSD:a30:p2:p30,"[1783400940000, 0.000181, 0.000181, 0.000181, 0.000181, 314.17130246]"
1783401000000,2026-07-07T05:10:00+00:00,0.000181,0.00032,0.00032,0.000181,462955.74238955,trade:1m:fUSD:a30:p2:p30,"[1783401000000, 0.000181, 0.00032, 0.00032, 0.000181, 462955.74238955]"
1783401180000,2026-07-07T05:13:00+00:00,0.00023978,0.00023978,0.00023978,0.00023978,197.45,trade:1m:fUSD:a30:p2:p30,"[1783401180000, 0.00023978, 0.00023978, 0.00023978, 0.00023978, 197.45]"
1783401240000,2026-07-07T05:14:00+00:00,0.00021269,0.00021269,0.00021269,0.00021269,186.387,trade:1m:fUSD:a30:p2:p30,"[1783401240000, 0.00021269, 0.00021269, 0.00021269, 0.00021269, 186.387]"
1783401360000,2026-07-07T05:16:00+00:00,0.00021269,0.000245,0.000245,0.00021269,665,trade:1m:fUSD:a30:p2:p30,"[1783401360000, 0.00021269, 0.000245, 0.000245, 0.00021269, 665]"
1783401600000,2026-07-07T05:20:00+00:00,0.000245,0.000245,0.000245,0.000245,683,trade:1m:fUSD:a30:p2:p30,"[1783401600000, 0.000245, 0.000245, 0.000245, 0.000245, 683]"
1783401660000,2026-07-07T05:21:00+00:00,0.000245,0.000245,0.000245,0.00024383,1372,trade:1m:fUSD:a30:p2:p30,"[1783401660000, 0.000245, 0.000245, 0.000245, 0.00024383, 1372]"
1783401720000,2026-07-07T05:22:00+00:00,0.00024383,0.00024383,0.00024383,0.00024383,860.1800000000001,trade:1m:fUSD:a30:p2:p30,"[1783401720000, 0.00024383, 0.00024383, 0.00024383, 0.00024383, 860.1800000000001]"
1783401780000,2026-07-07T05:23:00+00:00,0.00024383,0.00024383,0.00024383,0.00024383,1153.82,trade:1m:fUSD:a30:p2:p30,"[1783401780000, 0.00024383, 0.00024383, 0.00024383, 0.00024383, 1153.82]"
1783401840000,2026-07-07T05:24:00+00:00,0.00024383,0.00024647,0.00024657,0.00024383,7558.75784558,trade:1m:fUSD:a30:p2:p30,"[1783401840000, 0.00024383, 0.00024647, 0.00024657, 0.00024383, 7558.75784558]"
