mts,ts_utc,open,close,high,low,volume,candle_key,raw
1781660580000,2026-06-17T01:43:00+00:00,0.00018001,0.00018001,0.00018001,0.00018001,151,trade:1m:fUSD:a30:p2:p30,"[1781660580000, 0.00018001, 0.00018001, 0.00018001, 0.00018001, 151]"
1781660700000,2026-06-17T01:45:00+00:00,0.00018,0.00018,0.00018,0.00018,342.44588552,trade:1m:fUSD:a30:p2:p30,"[1781660700000, 0.00018, 0.00018, 0.00018, 0.00018, 342.44588552]"
1781661000000,2026-06-17T01:50:00+00:00,0.00018,0.00024888,0.00024888,0.00018,123201.28993007,trade:1m:fUSD:a30:p2:p30,"[1781661000000, 0.00018, 0.00024888, 0.00024888, 0.00018, 123201.28993007]"
1781661180000,2026-06-17T01:53:00+00:00,0.00015,0.00015,0.00015,0.00015,2802557.17102129,trade:1m:fUSD:a30:p2:p30,"[1781661180000, 0.00015, 0.00015, 0.00015, 0.00015, 2802557.17102129]"
1781661240000,2026-06-17T01:54:00+00:00,0.00015,0.00015,0.00015,0.00015,180.50050752,trade:1m:fUSD:a30:p2:p30,"[1781661240000, 0.00015, 0.00015, 0.00015, 0.00015, 180.50050752]"
1781661420000,2026-06-17T01:57:00+00:00,9.04e-05,9.04e-05,9.04e-05,9.04e-05,854.2677635,trade:1m:fUSD:a30:p2:p30,"[1781661420000, 9.04e-05, 9.04e-05, 9.04e-05, 9.04e-05, 854.2677635]"
1781679360000,2026-06-17T06:56:00+00:00,0.00014,0.00014899,0.00014899,0.00014,658.9098564799999,trade:1m:fUSD:a30:p2:p30,"[1781679360000, 0.00014, 0.00014899, 0.00014899, 0.00014, 658.9098564799999]"
1781679420000,2026-06-17T06:57:00+00:00,0.00014899,0.00014899,0.00014899,0.00014899,1297.10452012,trade:1m:fUSD:a30:p2:p30,"[1781679420000, 0.00014899, 0.00014899, 0.00014899, 0.00014899, 1297.10452012]"
1781679480000,2026-06-17T06:58:00+00:00,0.00014899,0.00014899,0.00014899,0.00014899,1603.07198521,trade:1m:fUSD:a30:p2:p30,"[1781679480000, 0.00014899, 0.00014899, 0.00014899, 0.00014899, 1603.07198521]"
1781679540000,2026-06-17T06:59:00+00:00,0.00014948,0.00014948,0.00014948,0.00014948,600,trade:1m:fUSD:a30:p2:p30,"[1781679540000, 0.00014948, 0.00014948, 0.00014948, 0.00014948, 600]"
1781679600000,2026-06-17T07:00:00+00:00,0.00014997,0.00014997,0.00014997,0.00014997,500,trade:1m:fUSD:a30:p2:p30,"[1781679600000, 0.00014997, 0.00014997, 0.00014997, 0.00014997, 500]"
1781679660000,2026-06-17T07:01:00+00:00,0.00014996,0.00014996,0.00014996,0.00014996,500,trade:1m:fUSD:a30:p2:p30,"[1781679660000, 0.00014996, 0.00014996, 0.00014996, 0.00014996, 500]"
1781679900000,2026-06-17T07:05:00+00:00,0.00014994,0.00015,0.00015,0.00014994,81657.56613212,trade:1m:fUSD:a30:p2:p30,"[1781679900000, 0.00014994, 0.00015, 0.00015, 0.00014994, 81657.56613212]"
1781679960000,2026-06-17T07:06:00+00:00,0.00015,0.00015,0.00015,0.00015,7315.13226424,trade:1m:fUSD:a30:p2:p30,"[1781679960000, 0.00015, 0.00015, 0.00015, 0.00015, 7315.13226424]"
1781680020000,2026-06-17T07:07:00+00:00,0.000149,0.00014998,0.00014998,0.000149,4741.80877784,trade:1m:fUSD:a30:p2:p30,"[1781680020000, 0.000149, 0.00014998, 0.00014998, 0.000149, 4741.80877784]"
1781680080000,2026-06-17T07:08:00+00:00,0.00014998,0.00014998,0.00014998,0.00014998,1826.82223854,trade:1m:fUSD:a30:p2:p30,"[1781680080000, 0.00014998, 0.00014998, 0.00014998, 0.00014998, 1826.82223854]"
1781680140000,2026-06-17T07:09:00+00:00,0.00014998,0.00014998,0.00014998,0.00014925,2168.48529144,trade:1m:fUSD:a30:p2:p30,"[1781680140000, 0.00014998, 0.00014998, 0.00014998, 0.00014925, 2168.48529144]"
1781680200000,2026-06-17T07:10:00+00:00,0.00014998,0.00015,0.00015,0.00014998,86126.92917979,trade:1m:fUSD:a30:p2:p30,"[1781680200000, 0.00014998, 0.00015, 0.00015, 0.00014998, 86126.92917979]"
1781680260000,2026-06-17T07:11:00+00:00,0.00014997,0.00014197,0.0001898,0.00014197,172242.88834496,trade:1m:fUSD:a30:p2:p30,"[1781680260000, 0.00014997, 0.00014197, 0.0001898, 0.00014197, 172242.88834496]"
