mts,ts_utc,open,close,high,low,volume,candle_key,raw
1779153960000,2026-05-19T01:26:00+00:00,0.000133,0.000133,0.000133,0.000133,544.9195082,trade:1m:fUSD:a30:p2:p30,"[1779153960000, 0.000133, 0.000133, 0.000133, 0.000133, 544.9195082]"
1779154200000,2026-05-19T01:30:00+00:00,0.0001285,0.00014885,0.00014885,0.0001285,1915148.5969903402,trade:1m:fUSD:a30:p2:p30,"[1779154200000, 0.0001285, 0.00014885, 0.00014885, 0.0001285, 1915148.5969903402]"
1779155280000,2026-05-19T01:48:00+00:00,6.45e-05,6.45e-05,6.45e-05,6.45e-05,170.43,trade:1m:fUSD:a30:p2:p30,"[1779155280000, 6.45e-05, 6.45e-05, 6.45e-05, 6.45e-05, 170.43]"
1779168360000,2026-05-19T05:26:00+00:00,0.000117,0.00012415,0.00015,0.000117,1765022.74177983,trade:1m:fUSD:a30:p2:p30,"[1779168360000, 0.000117, 0.00012415, 0.00015, 0.000117, 1765022.74177983]"
1779168420000,2026-05-19T05:27:00+00:00,0.00014177,0.00014467,0.00014467,0.00012415,4852.53979504,trade:1m:fUSD:a30:p2:p30,"[1779168420000, 0.00014177, 0.00014467, 0.00014467, 0.00012415, 4852.53979504]"
1779168480000,2026-05-19T05:28:00+00:00,0.00015008,0.00014873,0.00015008,0.00013262,4332.78383951,trade:1m:fUSD:a30:p2:p30,"[1779168480000, 0.00015008, 0.00014873, 0.00015008, 0.00013262, 4332.78383951]"
1779168540000,2026-05-19T05:29:00+00:00,0.00014953,0.00013698,0.00014953,0.00013698,16653.16519194,trade:1m:fUSD:a30:p2:p30,"[1779168540000, 0.00014953, 0.00013698, 0.00014953, 0.00013698, 16653.16519194]"
1779168600000,2026-05-19T05:30:00+00:00,0.00013698,9.555e-05,0.000183,9.555e-05,2055682.1326096,trade:1m:fUSD:a30:p2:p30,"[1779168600000, 0.00013698, 9.555e-05, 0.000183, 9.555e-05, 2055682.1326096]"
1779168900000,2026-05-19T05:35:00+00:00,0.00012872,0.00012872,0.00012872,0.00012872,152,trade:1m:fUSD:a30:p2:p30,"[1779168900000, 0.00012872, 0.00012872, 0.00012872, 0.00012872, 152]"
1779169440000,2026-05-19T05:44:00+00:00,7.272e-05,9.601e-05,9.601e-05,7.272e-05,466.74,trade:1m:fUSD:a30:p2:p30,"[1779169440000, 7.272e-05, 9.601e-05, 9.601e-05, 7.272e-05, 466.74]"
1779169500000,2026-05-19T05:45:00+00:00,0.00012868,0.00012868,0.00012868,0.00012868,152,trade:1m:fUSD:a30:p2:p30,"[1779169500000, 0.00012868, 0.00012868, 0.00012868, 0.00012868, 152]"
1779169800000,2026-05-19T05:50:00+00:00,0.00010765,0.00014651,0.0001475,0.00010765,150107.73752052,trade:1m:fUSD:a30:p2:p30,"[1779169800000, 0.00010765, 0.00014651, 0.0001475, 0.00010765, 150107.73752052]"
1779178980000,2026-05-19T08:23:00+00:00,0.00013967,0.00013967,0.00013967,0.00013967,500,trade:1m:fUSD:a30:p2:p30,"[1779178980000, 0.00013967, 0.00013967, 0.00013967, 0.00013967, 500]"
1779179160000,2026-05-19T08:26:00+00:00,0.00013894,0.00013894,0.00013894,0.00013894,356.32,trade:1m:fUSD:a30:p2:p30,"[1779179160000, 0.00013894, 0.00013894, 0.00013894, 0.00013894, 356.32]"
1779179340000,2026-05-19T08:29:00+00:00,0.00013699,0.00013699,0.00013699,0.00013699,166.84,trade:1m:fUSD:a30:p2:p30,"[1779179340000, 0.00013699, 0.00013699, 0.00013699, 0.00013699, 166.84]"
1779179400000,2026-05-19T08:30:00+00:00,0.0001368,0.00015,0.00015,0.0001368,1610417.98333707,trade:1m:fUSD:a30:p2:p30,"[1779179400000, 0.0001368, 0.00015, 0.00015, 0.0001368, 1610417.98333707]"
1779179580000,2026-05-19T08:33:00+00:00,0.00014212,0.00014212,0.00014212,0.00014212,210.54390342,trade:1m:fUSD:a30:p2:p30,"[1779179580000, 0.00014212, 0.00014212, 0.00014212, 0.00014212, 210.54390342]"
1779179760000,2026-05-19T08:36:00+00:00,0.00013881,0.00013881,0.00013881,0.00013881,274.310326,trade:1m:fUSD:a30:p2:p30,"[1779179760000, 0.00013881, 0.00013881, 0.00013881, 0.00013881, 274.310326]"
1779179940000,2026-05-19T08:39:00+00:00,7.625e-05,0.00013324,0.00013324,7.625e-05,1249.04,trade:1m:fUSD:a30:p2:p30,"[1779179940000, 7.625e-05, 0.00013324, 0.00013324, 7.625e-05, 1249.04]"
1779180360000,2026-05-19T08:46:00+00:00,0.00011121,0.00011121,0.00011121,0.00011121,158.49,trade:1m:fUSD:a30:p2:p30,"[1779180360000, 0.00011121, 0.00011121, 0.00011121, 0.00011121, 158.49]"
1779180480000,2026-05-19T08:48:00+00:00,0.00013699,0.00013901,0.00013901,0.00013699,11000,trade:1m:fUSD:a30:p2:p30,"[1779180480000, 0.00013699, 0.00013901, 0.00013901, 0.00013699, 11000]"
1779180600000,2026-05-19T08:50:00+00:00,0.00013901,0.00014313,0.00014313,0.00013901,559486.3111933001,trade:1m:fUSD:a30:p2:p30,"[1779180600000, 0.00013901, 0.00014313, 0.00014313, 0.00013901, 559486.3111933001]"
1779189720000,2026-05-19T11:22:00+00:00,0.00013561,0.00013561,0.00013561,0.00013561,300,trade:1m:fUSD:a30:p2:p30,"[1779189720000, 0.00013561, 0.00013561, 0.00013561, 0.00013561, 300]"
1779189900000,2026-05-19T11:25:00+00:00,0.00013296,9.998e-05,0.00013296,6.56e-05,1498.76,trade:1m:fUSD:a30:p2:p30,"[1779189900000, 0.00013296, 9.998e-05, 0.00013296, 6.56e-05, 1498.76]"
1779190080000,2026-05-19T11:28:00+00:00,0.00010571,0.00010571,0.00010571,0.00010571,160.51,trade:1m:fUSD:a30:p2:p30,"[1779190080000, 0.00010571, 0.00010571, 0.00010571, 0.00010571, 160.51]"
1779190200000,2026-05-19T11:30:00+00:00,0.00011144,0.00015,0.00015,0.00011144,14406812.90278873,trade:1m:fUSD:a30:p2:p30,"[1779190200000, 0.00011144, 0.00015, 0.00015, 0.00011144, 14406812.90278873]"
1779190260000,2026-05-19T11:31:00+00:00,0.000149,0.000149,0.000149,0.000149,1604.95609723,trade:1m:fUSD:a30:p2:p30,"[1779190260000, 0.000149, 0.000149, 0.000149, 0.000149, 1604.95609723]"
1779190320000,2026-05-19T11:32:00+00:00,0.000149,7.945e-05,0.000149,7.945e-05,7841.628476239999,trade:1m:fUSD:a30:p2:p30,"[1779190320000, 0.000149, 7.945e-05, 0.000149, 7.945e-05, 7841.628476239999]"
1779190560000,2026-05-19T11:36:00+00:00,0.00013567,0.00013567,0.00013567,0.00013567,3388.8178875,trade:1m:fUSD:a30:p2:p30,"[1779190560000, 0.00013567, 0.00013567, 0.00013567, 0.00013567, 3388.8178875]"
1779190740000,2026-05-19T11:39:00+00:00,0.00013567,0.00013567,0.00013567,0.00013567,3006.53130819,trade:1m:fUSD:a30:p2:p30,"[1779190740000, 0.00013567, 0.00013567, 0.00013567, 0.00013567, 3006.53130819]"
1779190920000,2026-05-19T11:42:00+00:00,0.00013558,0.00013558,0.00013558,0.00013558,2000,trade:1m:fUSD:a30:p2:p30,"[1779190920000, 0.00013558, 0.00013558, 0.00013558, 0.00013558, 2000]"
1779191100000,2026-05-19T11:45:00+00:00,0.00013411,0.00013411,0.00013411,0.00013411,3178.12,trade:1m:fUSD:a30:p2:p30,"[1779191100000, 0.00013411, 0.00013411, 0.00013411, 0.00013411, 3178.12]"
1779191280000,2026-05-19T11:48:00+00:00,0.00013538,0.00013538,0.00013538,0.00013538,203.56,trade:1m:fUSD:a30:p2:p30,"[1779191280000, 0.00013538, 0.00013538, 0.00013538, 0.00013538, 203.56]"
1779198600000,2026-05-19T13:50:00+00:00,0.00010353,0.00014781,0.00014781,0.00010353,475663.36046138,trade:1m:fUSD:a30:p2:p30,"[1779198600000, 0.00010353, 0.00014781, 0.00014781, 0.00010353, 475663.36046138]"
1779198720000,2026-05-19T13:52:00+00:00,7.585e-05,0.00010014,0.00010014,7.585e-05,329.41999999999996,trade:1m:fUSD:a30:p2:p30,"[1779198720000, 7.585e-05, 0.00010014, 0.00010014, 7.585e-05, 329.41999999999996]"
1779199560000,2026-05-19T14:06:00+00:00,6.756e-05,6.756e-05,6.756e-05,6.756e-05,160,trade:1m:fUSD:a30:p2:p30,"[1779199560000, 6.756e-05, 6.756e-05, 6.756e-05, 6.756e-05, 160]"
1779199740000,2026-05-19T14:09:00+00:00,0.00010002,0.00010002,0.00010002,0.00010002,160,trade:1m:fUSD:a30:p2:p30,"[1779199740000, 0.00010002, 0.00010002, 0.00010002, 0.00010002, 160]"
1779199800000,2026-05-19T14:10:00+00:00,0.0001235,0.00015,0.00015,0.0001235,12463220.88822093,trade:1m:fUSD:a30:p2:p30,"[1779199800000, 0.0001235, 0.00015, 0.00015, 0.0001235, 12463220.88822093]"
1779200340000,2026-05-19T14:19:00+00:00,7.076e-05,7.076e-05,7.076e-05,7.076e-05,164.5,trade:1m:fUSD:a30:p2:p30,"[1779200340000, 7.076e-05, 7.076e-05, 7.076e-05, 7.076e-05, 164.5]"
1779209400000,2026-05-19T16:50:00+00:00,0.00010009,0.00013412,0.00015,0.00010009,15516537.32102634,trade:1m:fUSD:a30:p2:p30,"[1779209400000, 0.00010009, 0.00013412, 0.00015, 0.00010009, 15516537.32102634]"
1779209460000,2026-05-19T16:51:00+00:00,0.00011401,0.00011401,0.00011401,0.00011401,304,trade:1m:fUSD:a30:p2:p30,"[1779209460000, 0.00011401, 0.00011401, 0.00011401, 0.00011401, 304]"
